Titanic Passengers and Crew Complete List,,,,,,,,,,,,,,,
Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"ANDREWS, Miss Cornelia Theodosia",1849,1913,62,Female,1st Class Passenger,13502,£77             19s             2d,D7,Cherbourg,,SAVED,10,,American,https://www.encyclopedia-titanica.org/titanic-survivor/kornelia-theodosia-andrews.html
"ANDREWS, Mr Archibald",1872,,40,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/archibald-andrews.html
"ANDREWS, Mr Charles Edward",1893,1961,19,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),SAVED,16,,English,https://www.encyclopedia-titanica.org/titanic-survivor/charles-edward-andrews.html
"ANDREWS, Mr Thomas",1873,1912,39,Male,1st Class Passenger H&W Guarantee Group,112050,,A36,Belfast,Shipbuilder,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/thomas-andrews.html
"ANGLE, Mr William",1881,1912,31,Male,2nd Class Passenger,226875,£26.00,,Southampton,Tile Maker,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-angle.html
"ANGLE, Mrs Florence Agnes",1876,1969,36,Female,2nd Class Passenger,226875,£26.00,,Southampton,,SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/florence-angle.html
"APPLETON, Mrs Charlotte",1858,1924,53,Female,1st Class Passenger,11769,£51             9s             7d,C101,Southampton,,SAVED,2,,American,https://www.encyclopedia-titanica.org/titanic-survivor/charlotte-appleton.html
"ARCHER, Mr Ernest Edward",1876,1917,35,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,16,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ernest-edward-archer.html
"ARMSTRONG, Mr James",1881,,31,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-armstrong.html
"ARNOLD-FRANCHI, Mr Josef",1887,1912,25,Male,3rd Class Passenger,349237,£17             16s,(E)58,Southampton,General Labourer,LOST,,,Swiss,https://www.encyclopedia-titanica.org/titanic-victim/josef-arnold-franchi.html
"ARNOLD-FRANCHI, Mrs Josefine",1893,1912,18,Female,3rd Class Passenger,349237,£17             16s,R190,Southampton,,LOST,,,Swiss,https://www.encyclopedia-titanica.org/titanic-victim/josefine-arnold-franchi.html
"ARONSSON, Mr Ernst Axel Algot",1887,1912,25,Male,3rd Class Passenger,349911,£7             15s             6d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/ernst-axel-algot-aronsson.html
"ARTAGAVEYTIA, Mr Ramon",1840,1912,71,Male,1st Class Passenger,17609,£49             10s             1d,,Cherbourg,Businessman,LOST,,22,Uruguayan,https://www.encyclopedia-titanica.org/titanic-victim/ramon-artagaveytia.html
"ASHBY, Mr John",1854,1912,57,Male,2nd Class Passenger,244346,£13.00,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-ashby.html
"ASHCROFT, Mr Austin Aloysius",1885,1912,26,Male,Victualling Crew,,,,Southampton,Clerk,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/austin-aloysius-ashcroft.html
"ASHE, Mr Henry Wellesley",1871,1912,41,Male,Victualling Crew,,,,Southampton,Glory hole steward (3rd class),LOST,,34,Irish,https://www.encyclopedia-titanica.org/titanic-victim/henry-wellesley-ashe.html
"ASIM, Mr Adola",1877,1912,35,Male,3rd Class Passenger,3101310,£7             1s,,Southampton,General Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/adola-asim.html
"ASPESLAGH, Mr Georges",1885,1912,26,Male,Restaurant Staff,,,,Southampton,Assistant Plateman,LOST,,,Belgian,https://www.encyclopedia-titanica.org/titanic-victim/georges-aspeslagh.html
"ASPLUND, Master Carl Edgar",1906,1912,5,Male,3rd Class Passenger,347077,£31             7s             9d,,Southampton,,LOST,,,"Swedish, American",https://www.encyclopedia-titanica.org/titanic-victim/carl-edgar-asplund.html
"ASPLUND, Master Clarence Gustaf Hugo",1902,1912,9,Male,3rd Class Passenger,347077,£31             7s             9d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/clarence-gustaf-hugo-asplund.html
"ASPLUND, Master Edvin Rojj Felix",1909,1983,3,Male,3rd Class Passenger,347077,£31             7s             9d,,Southampton,,SAVED,10,,"American, Swedish",https://www.encyclopedia-titanica.org/titanic-survivor/edvin-rojj-felix-asplund.html
"ASPLUND, Master Filip Oscar",1898,1912,13,Male,3rd Class Passenger,347077,£31             7s             9d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/filip-oscar-asplund.html
"ASPLUND, Miss Lillian Gertrud",1906,2006,5,Female,3rd Class Passenger,347077,£31             7s             9d,,Southampton,,SAVED,10,,American,https://www.encyclopedia-titanica.org/titanic-survivor/lillian-gertrud-asplund.html
